q_1 [rad],q_2 [rad],q_3 [rad],q_4 [rad],q_5 [rad],q_6 [rad]
1.28065854810528,1.30824512275103,-1.5905454607552,-1.2115002900068,-1.67855276791789,0.941451239972996
1.28585445987694,1.29429924613158,-1.57924326651596,-1.20736114924942,-1.69667037794766,0.956316192482356
1.29114086184729,1.27999988955359,-1.56747753948043,-1.20320869276074,-1.71517973075983,0.971310909163391
1.29653573581878,1.26527854132156,-1.55514478977709,-1.19906387265833,-1.73407460502377,0.986321665597535
1.30207866643834,1.25004355670361,-1.54216814266159,-1.19493293657312,-1.753327257782,1.00121914140737
1.30782512926639,1.23418767263082,-1.5284939783186,-1.19080964442672,-1.77289423677505,1.01586555234597
1.3138407788458,1.21759552239671,-1.51408857166357,-1.18667748520881,-1.79272219276639,1.03012178238627
1.32019573677092,1.2001511503566,-1.49893473214455,-1.18251189375442,-1.8127536918672,1.04385451581042
1.32695887975656,1.18174552662705,-1.48302844354398,-1.17828246752132,-1.83293302786135,1.05694336929913
1.33419212770696,1.16228406178525,-1.46637550378049,-1.17395518336735,-1.8532120345302,1.06928802402105
1.34194473178485,1.14169412156847,-1.44898816471072,-1.16949461432774,-1.87355589797751,1.08081535772209
1.35024756248005,1.11993254157369,-1.43088177193074,-1.16486614639251,-1.89394896895436,1.09148657681441
1.35910747641795,1.09699303504618,-1.41207144467187,-1.16003817577498,-1.91440048381661,1.10130423720089
1.36850373035606,1.0729108210171,-1.39256979810089,-1.15498379895395,-1.93494790993686,1.11031637216795
1.37838959190061,1.04776019639421,-1.37238731173601,-1.14968121514045,-1.95565426088321,1.11861327669666
1.38869599741284,1.02164932840022,-1.35153374026907,-1.14411362151801,-1.97660303605225,1.12632139884404
1.39933528865383,0.994714940101235,-1.3300195644806,-1.13826908897421,-1.99789306893477,1.13359711985842
1.41020494942928,0.967116995935001,-1.30785744215496,-1.13214043783219,-2.01963337538151,1.14062053429476
1.42119134223432,0.939033387239321,-1.28506365899543,-1.12572511358219,-2.04193800186887,1.14758923012998
1.4321734448983,0.910654617780385,-1.26165957953929,-1.1190250626131,-2.06492087376468,1.15471206887822
1.44302658722958,0.88217848928112,-1.23767309807298,-1.112046607944,-2.08869064359392,1.16220296570624
1.45362618766035,0.853804786949543,-1.21314008954715,-1.10480032495565,-2.11334553930443,1.17027466954869
1.46385148989093,0.825729965007868,-1.1881058604918,-1.09730091712218,-2.13896821253339,1.17913254322548
1.47358927514692,0.798141863927256,-1.16262656897438,-1.08956708291853,-2.16562062611562,1.18896838714082
1.48273694030274,0.771215252116348,-1.13676983967522,-1.08162115331463,-2.19333996198161,1.19995539639353
1.49120396629835,0.745109460426708,-1.11061333579955,-1.07348814690889,-2.22213711924962,1.21224599493517
1.4989127524248,0.719966841108237,-1.08424252610683,-1.06519459564772,-2.25199623270395,1.22597080312911
1.50579942622064,0.695911258473283,-1.05774842098315,-1.05676736172149,-2.28287423051788,1.24123764889955
1.51181465336832,0.67304657956074,-1.03122530851355,-1.04823245446035,-2.3147003919767,1.25813057888051
1.51692444759071,0.651455164800146,-1.00476849055436,-1.03961384723015,-2.34737590520064,1.27670886956484
1.52111098054742,0.631196358675789,-0.978472018805587,-1.03093229432823,-2.38077342486783,1.29700603845319
1.52437339173131,0.612304980390807,-0.952426430883231,-1.02220414787939,-2.41473662993734,1.31902885520297
1.52672859836489,0.594789814531288,-0.926716486391654,-1.01344017473169,-2.44907978137208,1.34275635277741
1.52821210529774,0.578632101731111,-0.901418902996205,-1.00464437335303,-2.48358727986374,1.36813883859578
1.52887877818147,0.56378408609379,-0.876600122216696,-0.995812820743076,-2.51801328390706,1.39509692521199
1.52880266199492,0.550169038399279,-0.852314848000781,-0.986933299839711,-2.55208289722401,1.42352106890753
1.52807437619472,0.537685025508237,-0.828606546960089,-0.977986908157146,-2.5854973398561,1.45327239756071
1.52679755521122,0.52621015554759,-0.805508721384894,-0.968950446915098,-2.61794068859688,1.48418404642385
1.5250852522259,0.515607879856031,-0.783046211980718,-0.959798840186126,-2.64908667778168,1.51606251343396
1.52305634294873,0.50573229492956,-0.761236500604962,-0.950507554042936,-2.67860550007722,1.54868901452331
1.52083192939558,0.49643344436689,-0.740091013003505,-0.941055015705679,-2.70617060727122,1.58182083893014
1.51853174366556,0.487562620815073,-0.719616421547334,-0.931425032689283,-2.73146551106214,1.61519270450922
1.51627055171847,0.478977667914943,-0.699815947969144,-0.921609211950765,-2.75419058384873,1.64851811304255
1.51415455715217,0.470548282246614,-0.680690666099962,-0.911609379036511,-2.77406985951973,1.68149070554993
1.51227780497748,0.462161315275686,-0.662240804605987,-0.90143999722995,-2.79085783424004,1.71378561759993
1.5107186298667,0.453726010415245,-0.644467040373121,-0.891130543443921,-2.80434620107664,1.74506089701359
1.50953726037146,0.445177553194835,-0.627371548761902,-0.880726759520986,-2.81436886397398,1.77496054381606
1.50877635761094,0.436476339292206,-0.610958436679897,-0.870289048788862,-2.82080258404548,1.80312166819436
1.5084627099416,0.42760555566856,-0.595233932523386,-0.85988974802228,-2.82356590523201,1.82918327070206
1.50860897209085,0.418568696822323,-0.580206566767624,-0.849610356150716,-2.82261801378616,1.85279508485726
1.50921540429053,0.409387081043082,-0.565887352557115,-0.839538762966356,-2.81795759775645,1.87362641974089
1.51027161141052,0.400097366665364,-0.552289966295874,-0.829766477831807,-2.8096217064716,1.89137500259535
1.51175828209226,0.390749068322407,-0.539430928237698,-0.82038585838793,-2.79768461002488,1.90577582142252
