dq_1 [rad.s^-1],dq_2 [rad.s^-1],dq_3 [rad.s^-1],dq_4 [rad.s^-1],dq_5 [rad.s^-1],dq_6 [rad.s^-1]
0.228637503769284,-0.611965954990327,0.493324115853118,0.182967066441739,-0.79582715946371,0.655596987204905
0.232638712113981,-0.626563518210911,0.511174131139239,0.184265497166959,-0.812973537310183,0.66357224543856
0.236874164368154,-0.643577936799122,0.53425904894493,0.18427456225057,-0.830407455747274,0.666950481911715
0.24242970007809,-0.664202999197059,0.561322713483937,0.183696268264897,-0.847044452380748,0.664881006781407
0.250137579790305,-0.689298881630808,0.591258143688323,0.183134208797127,-0.862058100763627,0.656829756593114
0.260576485051552,-0.719392148110436,0.623107533208475,0.183093564449303,-0.874880010396196,0.642579294280752
0.274071518408815,-0.754675750429999,0.656062250413095,0.183981102838328,-0.885199826725995,0.62222880916668
0.290694203409314,-0.795009028167537,0.689462838389208,0.186105178595961,-0.892965231147829,0.596194116961696
0.3102624846005,-0.839917708685073,0.722799014942156,0.189675733368823,-0.898381941003759,0.565207659765039
0.332340727530059,-0.888593907128617,0.755709672595601,0.194804295818392,-0.901913709583106,0.530318506064386
0.356239718745911,-0.939896126428164,0.787982878591526,0.201503981621003,-0.904282326122453,0.492892350735856
0.381016665796561,-0.992349257297904,0.819555874889539,0.209689493467675,-0.906467615805807,0.454611515044322
0.405492674976408,-1.04416830932536,0.850506178688762,0.219181451474662,-0.909687158712831,0.417450248483919
0.428445006541781,-1.09351945296224,0.880953688133847,0.229754027690693,-0.915173198257804,0.383403049039122
0.448799329923446,-1.13878106151332,0.910962788027963,0.241182580605991,-0.923949549626868,0.354212983442766
0.465647201473676,-1.17856744222653,0.940533450351208,0.253247985561934,-0.936811318727109,0.331346989018094
0.478246064466255,-1.21172883629302,0.969601234260604,0.265736634751061,-0.954324902186549,0.315995873678763
0.486019249096469,-1.23735141884714,0.998037286090101,0.27844043721707,-0.976827987354157,0.309074315928838
0.488555972481121,-1.25475729896642,1.02564833935057,0.291156818854815,-1.00442955229984,0.311220864862795
0.485611338658515,-1.26350451967159,1.05217671472982,0.303688722410312,-1.03700986581444,0.322797940165517
0.477106338588468,-1.26338705792658,1.07730032009258,0.315844607480734,-1.07422048740977,0.343891832112306
0.463127850152302,-1.25443482463853,1.1006326504805,0.327438450514413,-1.11548426731853,0.374312701568862
0.44392863815273,-1.23691366465887,1.12172278811293,0.33828974481155,-1.15999534649271,0.413594579988733
0.419921940485992,-1.21131831813093,1.14006227401006,0.348225459129982,-1.2067278680502,0.461005045662931
0.39162191603055,-1.17829499536892,1.15516069588531,0.357101582383605,-1.25453180310442,0.515651662338272
0.3595840925365,-1.13856395172581,1.16662127603021,0.364824668333909,-1.30222877661043,0.576588417861012
0.324399952797276,-1.0929124489465,1.17414774294141,0.371353794199226,-1.34862077880332,0.642825400413756
0.286696934649647,-1.04219475516777,1.1775443313206,0.37670056065473,-1.39249016519813,0.713328798515454
0.247138430973716,-0.987332144918315,1.17671578207452,0.380929091832435,-1.43259965658991,0.787020901021413
0.206423789692926,-0.929312899118742,1.17166734231499,0.384156035321197,-1.46769233905372,0.862780097123281
0.16528831377405,-0.869192305081558,1.16250476535889,0.386550562166712,-1.49649166394458,0.939440876349062
0.124503261227201,-0.808092656511179,1.14943431072814,0.388334366871518,-1.51770144789754,1.0157938285631
0.0848758451058242,-0.747203253503926,1.13276274414977,0.389781667394995,-1.5300058728276,1.09058564396611
0.0472492335114403,-0.687780402547261,1.11289733755448,0.391219205151451,-1.53206948593422,1.16251911309717
0.0124943992426196,-0.631134817179344,1.09033927155282,0.393019581660173,-1.52255059773313,1.23025746299911
-0.0185795338326784,-0.578493025207351,1.06561106260624,0.395527961601946,-1.50024866062499,1.29247205513844
